East Midlands,East of England,East Scotland,London,North East England,North Scotland,North West England,South East England,South West England,West Midlands,West Scotland,Yorkshire and Humber,Isle of Man,Northern Ireland,Wales
NAN,887.3875137,1668.874075,833.8179572,1245.286401,1761.104523,NAN,1034.070308,1412.706143,1151.701836,2076.757782,1209.807645,1694.027434,1453.64593,2013.694253
NAN,582.2954468,1127.454215,589.2257066,718.5642187,1536.737795,NAN,699.6037053,951.3216192,664.0217288,1521.889029,688.1564575,888.4584464,905.9983315,1202.570038
NAN,466.3107893,1097.000964,504.8829,794.9437326,1616.887977,NAN,683.4694075,1021.263364,688.5434764,1640.904214,725.4890504,1007.41186,988.8271209,1370.95513
NAN,720.5366358,1140.530911,722.8084424,847.631048,1349.100327,NAN,873.6253329,1183.2938,931.6848484,1444.321165,861.0500499,1126.277814,1065.054949,1430.305314
NAN,731.2364987,1312.123831,691.645728,994.0856869,1408.842012,NAN,865.9188304,1215.82082,905.8630648,1542.224133,932.3355943,1183.824489,1187.348397,1447.86525
NAN,737.3971378,1459.488745,757.4829236,1096.241772,1862.42906,NAN,925.2263053,1196.467106,903.9690115,2094.467434,1030.176539,1640.114732,1298.695585,1731.286293
NAN,693.6927056,1058.796497,761.4341404,899.7916556,1462.876476,NAN,806.1841417,1068.995366,894.954094,1281.817701,872.8106481,1045.168351,1027.90093,1342.346424
750.1195961,750.5305206,1015.88626,839.441146,775.968463,1279.315591,NAN,887.8596363,1084.551528,836.8488652,1269.607502,763.6142759,1204.596021,1064.638991,1338.571545
909.6907817,736.1395976,984.9951881,758.3018999,918.0967022,1408.520371,NAN,867.648855,1007.881169,871.1107338,1202.528845,968.5631539,1014.584662,968.8437658,1361.277933
762.3026776,667.5451219,1115.760723,691.5132126,1023.626964,1386.670694,NAN,782.2937943,994.9598754,745.1824845,1449.341874,926.0821821,1300.820209,1052.449226,1294.306951
923.6663094,784.4401715,1295.08493,691.026912,992.0627566,1673.218668,NAN,866.7763068,1262.30286,1009.381826,1711.041024,1043.984364,1398.158799,1224.503843,1707.094365
826.6609083,699.3075823,1235.674546,606.7912536,854.8378861,1593.363397,NAN,732.2402743,998.5749113,790.8762188,1657.64163,920.0574475,NAN,1160.332187,1405.759599
546.2554548,486.1244851,1172.427992,501.0754856,753.3391338,1605.693943,NAN,608.1958907,867.9298152,646.969013,1672.469521,702.7063283,NAN,1119.421474,1310.906153
715.7934671,685.9340801,1050.949486,675.0951955,751.8611349,1448.821675,NAN,744.1440121,990.543848,748.8194616,1373.028997,773.1443736,NAN,915.8870063,1323.184571
790.4441558,652.3508236,1088.262711,667.191894,1034.369706,1426.214438,NAN,840.0382852,1091.552017,877.0564157,1415.175867,959.1579511,NAN,1175.362505,1595.93556
476.734199,466.1266901,857.8434098,511.1339026,705.9665798,1307.383452,NAN,595.8049225,710.9409623,545.0634366,1165.142822,590.9188401,NAN,824.7832457,993.1257853
638.6936531,615.8396672,1089.137859,695.8232654,832.2329283,1431.00045,1051.06411,761.7193148,978.0573994,711.0256999,1317.314088,791.1969719,NAN,1070.916755,1263.306817
699.6836003,657.467185,953.3810947,626.3652301,744.5006621,1335.329842,1007.216906,684.2545822,835.1950716,713.7859674,1251.320524,756.7027911,NAN,1080.583602,1110.192563
542.182351,556.5286581,1174.552766,546.4415032,839.8536818,1663.583907,1145.440345,638.9060626,867.6005109,596.391665,1531.612104,772.9764049,NAN,1075.008906,1173.492862
739.5226073,664.4680086,1138.423607,695.948985,878.5851211,1541.216422,1278.410917,865.1827133,1126.991305,825.6925839,1472.681599,865.8784492,NAN,1061.595941,1438.289479
622.7058969,674.6320696,1057.512237,590.5656,861.1522054,1546.543472,1198.772988,664.4418414,747.4785074,620.7901005,1401.037924,857.610974,NAN,1064.391709,1082.355684
527.8240327,527.2799105,992.2860661,510.7825174,685.392687,1673.589381,1067.53803,610.0782231,800.3748004,581.5230794,1354.680433,710.6813098,NAN,941.8838036,1097.76975
640.2551654,651.043499,1248.156493,707.9782658,870.549877,1576.310923,1247.246398,880.4711451,1119.924972,733.0660448,1515.127453,882.0107133,NAN,1079.376171,1376.408663
645.7055922,558.6734223,1115.702874,539.5111348,935.9277216,1421.024092,1052.069633,672.5536641,944.9663885,645.9094494,1224.202027,901.7288667,NAN,1016.296996,1140.661903
667.757941,611.6179996,1054.359081,611.3506428,843.9006466,1583.398366,1118.121454,713.6818798,797.3401227,620.8471731,1380.072587,779.4222662,NAN,1077.009449,1198.147289
665.1874886,558.1001045,1155.779521,576.5957336,806.4788145,1393.496272,1241.728908,715.1916857,1050.055666,715.28411,1505.496245,808.1686456,NAN,1192.663887,1377.30632
567.8404383,499.9101797,1119.498004,457.2626844,765.5003443,1800.929866,1144.593189,584.359697,810.8475104,598.2246858,1514.531265,755.6032466,NAN,1057.825403,1242.970547
623.1229176,559.3915524,1175.875143,565.1539303,839.3832861,1525.188517,1140.476379,652.8340504,893.3275368,685.1463837,1505.68953,798.209406,NAN,1141.678277,1214.85611
753.5907802,602.825167,1341.239823,581.759555,1104.294508,1734.915193,1267.7053,739.5920645,1031.841998,814.5468281,1636.389784,938.46577,1349.148753,1260.047945,1399.371336
609.643623,484.8421794,1009.033478,507.9393119,815.2864076,1402.421621,975.0909853,603.5235877,842.4548561,655.8068544,1364.169434,763.215861,1238.962507,1101.856622,1192.342606
595.4637064,496.5754791,950.7193739,529.0265869,687.7579622,1348.299465,935.9425232,608.0451303,823.2893557,663.0823863,1245.966067,672.252603,1148.212595,1051.966774,1061.669816
839.9130587,785.7489375,1483.330849,948.0134517,1087.337009,2002.895244,1537.990517,998.2941307,1258.432574,943.4253872,1967.442413,1047.953966,1519.461842,1337.496442,1765.390498
584.1285014,505.2126813,1001.862613,540.9729547,701.9122493,1553.826301,1053.992726,681.2903009,959.712821,611.9822011,1470.231283,715.2757423,1071.615687,1081.666035,1186.161303
557.6451073,534.3769274,1013.556734,572.4160591,707.2824026,1562.958795,990.5400297,652.3056667,801.2326525,608.4054619,1376.980402,678.2728828,988.951492,999.5428348,1098.646912
685.7454328,633.3334005,1193.516044,626.1475691,887.2168037,1724.040042,1219.644927,751.8468285,939.4036301,697.9817105,1558.856253,816.4688788,1192.495018,1124.953636,1337.720582
696.4867987,585.3075111,1133.204387,575.8312546,851.8713979,1495.217387,1208.854524,694.5521061,963.1365971,758.7833586,1609.451686,850.1783691,1231.730748,1114.949737,1336.672135
591.0528062,539.9494212,1036.946111,594.1058178,732.4447101,1526.628951,1173.111771,661.949409,786.7525612,687.9806505,1502.706522,739.9914685,1141.203977,1124.023847,1313.687177
730.0101607,675.2688732,1104.708629,655.4564389,912.5829369,1401.869841,1235.890894,818.3276157,940.5207738,726.00865,1484.4303,889.3070014,1222.785256,1048.22898,1313.894547
736.0166598,690.8547556,1162.08044,667.679539,866.7590903,1556.957778,1239.65768,844.2719324,1175.601985,860.5698977,1499.558856,874.678541,1296.744821,1115.704623,1565.395428
576.9459557,580.2111131,1006.817772,605.8922406,859.403268,1519.951931,1167.655194,733.8996565,911.8622895,593.0084724,1502.428489,795.0613152,1052.462771,961.7326452,1316.37424
885.7020573,775.9405669,1197.631924,696.1006413,986.9104708,1685.676315,1325.225985,906.8212294,1269.921388,933.2031752,1600.509777,1019.959856,1227.318023,1214.801869,1562.056083
616.4762524,539.767137,1015.371573,575.387828,797.6177796,1443.967528,1104.086206,747.6752773,987.8405879,762.0494222,1397.371127,729.9617735,1092.887513,1058.053375,1414.50921
674.6725026,633.2649566,1140.591808,660.6590274,884.7456956,NAN,1212.250331,832.442104,1175.050129,765.4084427,1517.773233,842.2464735,1140.36866,1077.817767,1433.119105
745.688894,692.7251784,1154.634445,806.3205558,828.8554755,NAN,1094.492982,940.3349132,1149.744191,825.6696918,1292.838047,850.3785105,1197.064545,1035.804038,1358.176653
771.2765021,746.4709531,1453.38973,804.9120911,1062.4777,NAN,1262.769741,890.1610158,1146.178548,749.8334579,1629.156225,909.1483768,1311.725873,1180.289292,1394.306732
633.6069076,623.6249188,970.4368848,696.8376573,869.7433843,NAN,1130.238721,752.6717037,929.7086569,713.8434614,1440.563635,773.347284,1227.345339,1164.892002,1265.134108
665.4552458,669.0448137,1083.766126,749.2376967,823.5417493,NAN,1362.650482,754.2934111,1045.782869,723.6926548,1652.826173,902.0939755,1482.083346,1195.672229,1520.584076
760.4259864,659.5305121,1002.833135,645.5066676,849.7914231,NAN,1052.961749,778.0889639,1032.363255,743.0059723,1306.992471,868.6248001,1182.319471,1071.858399,1289.151519
693.2060491,547.2641197,1180.972769,594.5045229,893.4503524,NAN,1288.527382,709.6746313,1050.110308,820.8544037,1693.460559,895.8604962,1379.324712,1243.225197,1637.629797
449.6070502,344.9115433,979.4372684,346.9817446,735.4506083,NAN,1065.441952,397.9280508,601.6565492,488.3850879,1603.91781,642.2782495,1168.779681,1001.394766,1074.471825
744.3552477,633.6667948,1013.217622,632.6694235,848.4063664,NAN,1171.96487,757.129471,1023.881851,759.8100084,1401.467265,891.6846525,1207.562618,1061.215092,1310.815523
731.1075005,611.05327,1241.709716,664.9929969,884.1031045,NAN,1476.915172,794.7436691,1049.458318,799.0895157,1846.407194,955.6918427,1392.262408,1316.294663,1573.45503
726.4950965,724.4386788,1170.132097,825.5613744,891.9091909,NAN,1288.472932,936.4682472,1261.338667,917.9467033,1516.283419,868.7740438,1539.258093,1233.179781,1591.824141
647.4628908,598.9391033,1138.406993,649.3158222,933.0413814,NAN,1194.323283,838.5801573,1076.73334,747.841507,1438.731647,843.3448471,1126.352847,1061.139837,1386.332524
644.3087321,611.4115684,1277.446588,701.7335094,929.1161514,NAN,1248.274433,758.9963295,929.4599563,714.7665958,1665.182738,821.0523294,1146.792299,1066.663345,1316.903271
794.1770078,745.2961336,1300.612552,835.4183799,1025.123289,NAN,1356.046251,977.8869197,1165.697373,883.0334517,1687.301714,982.3297452,1406.327815,1049.481895,1595.031807
699.657986,613.6013442,1389.507837,684.2942286,939.8819556,NAN,1555.163748,817.1027597,1089.367201,781.8294615,1958.190183,935.7857638,1679.79071,1369.293101,1673.54662
598.5576484,537.5015149,1061.920065,587.2616334,760.2828623,NAN,1223.96981,730.6790084,1086.057851,741.9221456,1635.878004,736.47827,1314.648812,1120.016443,1459.316449
802.2327976,675.1957745,1237.657012,675.8354743,1011.830087,NAN,1337.589537,789.2597348,1121.295274,920.8974177,1627.314876,1009.974034,1549.965648,1159.726455,1592.775964
776.60108,630.606346,1139.221251,623.6702413,925.5531404,1447.035185,1338.812473,712.8561562,1025.90571,870.0565328,1548.160311,966.2272359,1470.293393,1179.275985,1459.968292
683.0706407,576.6383928,1170.682362,595.7164145,819.1868589,1634.727388,1240.374664,727.824979,1032.382052,799.2991942,1622.385226,786.5518715,1336.682151,1033.136041,1395.337753
553.341524,470.6645109,889.3386649,459.1387326,750.3230832,1180.03696,871.6456885,588.0265033,782.1991218,583.6019166,1183.18062,723.5363035,962.8275006,780.2951409,1012.579732
563.0289682,499.7841515,1232.496183,546.0439758,951.0465305,1581.889491,1157.72521,706.4127794,942.641937,627.7819233,1602.375335,760.6268173,1335.010016,1106.948914,1298.467237
728.2070551,642.915756,1162.223584,698.972701,900.6018677,1645.575346,1238.635028,917.6157909,1111.831947,792.449345,1543.242475,917.5843107,1251.522098,1046.066161,1437.710805
729.9417218,675.944942,1039.559677,664.0612631,921.1165168,1332.570576,1178.70618,794.6842927,1032.987442,819.5088528,1440.703918,880.148713,1462.031051,1137.628267,1415.038094
732.9083644,744.2196669,1108.610025,782.1611874,913.3910592,1161.046045,957.5389537,912.4260624,1096.099784,759.3368044,1283.933465,859.5578264,1309.22831,1043.833092,1216.621743
643.6732215,513.8405534,1275.076405,526.0557175,858.2831221,1972.989898,1377.997759,639.0247194,952.5337003,677.5961137,1892.78685,917.9135252,1448.335529,1181.149685,1433.201576
778.6792814,753.988407,1108.823258,778.8582744,924.8542026,1381.217544,1154.283495,886.3234529,1102.46944,820.7026676,1396.86283,899.2351317,1119.959497,1030.583574,1471.33215
690.6402667,600.6169722,1089.497167,658.631073,825.8316627,1443.746459,1098.221012,751.3440422,982.0388882,796.4741581,1430.996581,805.1086229,1372.996245,1150.863107,1317.718698
735.1484016,615.8580498,1036.610635,685.2397721,801.2430504,1256.623885,927.5107,733.7956739,878.204948,756.5798188,1158.601215,781.2661703,1042.241232,982.0210351,1130.0517
597.9452738,594.6405832,1010.772308,594.480621,704.960816,1533.545174,1123.116721,699.0308331,931.8933754,644.6365654,1548.681261,726.4335385,1372.763883,1185.378047,1271.556628
547.8697707,482.2094316,1115.313724,548.810922,810.3467454,1680.234589,1266.425527,632.7239315,955.1251292,666.9072639,1661.937381,742.4765358,1292.084579,1106.092658,1382.222958
712.8556113,580.1837746,1130.960367,550.8087703,905.2049907,1565.740698,1269.864293,657.6248085,933.2994073,699.7544968,1579.247996,938.8313785,1389.517394,1142.2409,1334.964348
585.4793551,547.6424074,1207.829754,534.1116562,814.5842631,1389.527666,1073.223061,641.9721169,925.1062928,690.9650478,1456.540481,771.2069229,1092.421189,1030.547258,1291.784164
800.6481852,714.9256099,1115.153027,753.7610986,841.4745979,1460.700892,1307.229335,888.9944734,1204.039219,866.5828772,1473.365721,999.7914759,1244.500453,1139.152746,1575.592623
566.8840738,488.9933804,1119.902197,526.6076856,868.5718904,1375.631095,1075.284573,620.2489739,900.0970619,663.3327204,1446.512651,798.5214603,1335.393291,1093.777231,1267.124594
712.5776244,603.530114,1371.093151,612.2549492,951.0419008,1789.577612,1292.836052,751.2056998,1039.582554,812.5330679,1923.304483,816.1834787,1550.620219,1169.122117,1562.479889
601.382914,490.3560721,1060.822081,506.2156116,699.8259196,1843.320122,1148.630598,637.0402953,842.8025713,628.9623128,1675.009281,718.2855599,NAN,1039.197518,1240.673163
714.5346013,656.053358,1187.107012,661.5071725,949.3725366,1774.486574,1343.909567,802.8059962,1168.534907,767.842826,1712.381218,926.6889285,NAN,1235.793659,1591.953251
799.4725856,731.4698265,1211.951713,846.9567943,934.7789697,1559.029875,1349.498537,1025.163059,1173.659684,883.1484778,1591.810839,1008.745024,NAN,1076.97337,1575.254127
621.689939,626.6330189,969.8702744,643.835716,789.0919693,1472.561464,1083.036598,751.6627199,1037.241855,715.0419146,1359.971987,736.852068,NAN,937.9718096,1312.93543
566.9685517,504.5473663,961.948182,530.2602641,698.6047067,1557.289803,1086.030935,602.5947053,775.0166816,620.1040787,1464.28626,682.6143262,NAN,836.5489411,1205.79213
824.8018335,679.0100154,1388.913213,693.3525011,1035.948991,1780.431002,1642.626449,834.8559385,1131.49564,887.6305993,1988.005592,1021.616367,NAN,1272.210628,1768.156752
578.0722866,518.5952538,842.3531052,547.3977454,653.836049,1277.04928,924.1680469,669.2905354,892.8075099,678.215934,1241.721928,655.5597452,NAN,977.3374624,1175.378223
692.0775409,578.7274611,1134.387748,627.9439403,859.7780931,1663.067579,1150.368265,690.6923636,875.8970003,678.5408725,1409.579741,884.8826961,NAN,1049.677248,1203.871612
685.4244201,580.0454615,1135.752014,574.5022817,790.9816056,1667.29427,1222.540484,712.8904738,973.132194,742.8311122,1535.036606,832.747648,NAN,1123.175721,1487.489665
806.5583875,742.8933932,1176.091515,809.9500482,913.8886395,1365.574198,1247.122584,884.0793391,1124.279263,914.4947721,1431.36353,923.7879215,NAN,1221.616997,1535.954743
520.3630733,480.6610708,978.9984914,503.1168842,663.8564782,1513.27429,1048.779263,694.9925982,1063.254189,690.9974372,1393.064127,667.8949761,NAN,960.7201316,1335.497272
901.9260003,769.1726804,1239.489658,807.5130564,992.1562222,1157.659195,1323.311579,1052.010933,1363.397608,1025.225601,1511.807589,1045.959052,NAN,1214.106537,1697.751354
630.17696,604.8040174,1105.246324,628.9118938,822.0464999,1608.163231,1234.739462,727.1011589,940.3296095,678.766628,1668.633443,826.3193406,NAN,1100.240515,1360.804138
564.8289996,527.6904655,1128.955538,575.8923915,773.1971264,1635.016603,1157.916667,668.4551947,853.806443,653.4675988,1613.812156,700.4965147,NAN,1022.145979,1256.05949
609.8319517,571.8640821,1163.682849,593.7586446,886.6813667,1247.563235,1121.550454,753.7521054,984.9716628,640.7112401,1439.229831,786.2433999,NAN,1084.3398,1231.044427
513.5430605,489.6189005,928.714875,550.7403186,649.7981149,1465.618097,1044.416477,632.6830589,752.0799048,548.0285479,1448.07953,613.7187282,NAN,998.0379043,1112.985764
818.4373404,695.1382199,1112.826646,705.3251765,984.2561764,1521.42217,1236.809569,794.9761012,1089.571044,833.5443488,1564.708811,948.8345562,NAN,1164.800658,1493.067533
804.8027093,683.6018869,1214.079707,740.0576543,957.1463072,1629.149569,1319.342174,894.1785949,1115.196519,874.659768,1572.339598,974.3370978,1444.227062,1265.967474,1504.547131
675.4793643,605.1596947,1173.510181,706.4946355,960.9270065,1828.2932,1428.244814,834.7525278,1098.677534,789.4085768,1712.070204,932.8602958,1362.712249,1198.901042,1589.262277
772.9355033,695.0910238,1075.733129,783.3820623,909.7498179,1322.328035,1236.571598,852.4164437,1037.23751,813.7654177,1420.549236,924.0652827,1433.47323,1077.715817,1362.700878
743.6023136,616.5766684,997.2829458,563.5901349,864.7388671,1393.612908,1081.997311,705.9292217,958.7397726,782.7659584,1253.914029,880.926181,1079.676725,992.6810246,1269.07575
667.8500979,616.3568716,1122.756089,656.7953297,791.0661096,1716.476127,1209.777115,766.5748834,1023.615627,774.0908254,1607.605437,798.231718,1222.888358,1138.74741,1468.606187
607.4751455,565.0882304,899.8078483,624.2965399,718.5873801,1415.798967,958.901544,692.9976841,891.2850692,707.6301909,1252.802416,695.607552,1064.037392,897.144887,1189.181132
627.9181186,479.6090182,954.7603621,495.8390032,712.3016076,1248.088456,1138.312682,676.5364681,1058.530868,754.8216362,1446.200203,755.3933434,1264.646683,1035.517285,1409.700403
607.6628462,497.4922853,840.3502737,501.2474357,637.4601052,1619.392355,981.5984618,547.8980337,770.8070967,616.8493109,1337.418672,707.0761034,1017.426153,959.6008139,1144.101161
691.3285728,672.4489142,1164.680391,773.5739488,825.8635613,1669.117973,1273.698476,944.970166,1218.333314,743.6383968,1669.163702,853.0005278,1279.67771,1118.277078,1608.901803
536.2105493,554.4015372,926.5337725,608.9684467,691.4373047,1457.927697,1023.18977,701.5738343,792.7282815,553.666718,1375.405498,642.4393078,1070.944964,839.7994538,1119.764383
554.9703549,513.3156089,1103.937698,503.4567332,817.0168923,1397.941926,1048.804405,650.4593237,883.7738635,678.5240978,1464.393052,774.7491284,1298.038933,1044.880199,1123.796096
699.8728204,571.4811825,1163.965953,665.2825881,832.897395,1526.311541,1197.81181,790.5295793,1045.032568,790.6583989,1628.775359,848.2261217,1311.474273,1072.403956,1458.964821
725.3466905,614.7035968,1192.607317,634.7102225,933.0029634,1487.223915,1156.626838,695.0452103,935.3759131,700.3952427,1512.124542,870.3363773,1355.788038,1114.387176,1274.021921
751.5461309,667.5888821,1152.671139,NAN,919.2970471,1730.176126,1269.589606,827.1731356,1087.825689,775.765214,1661.509995,954.065257,1255.299984,1153.980378,1490.868129
774.6598468,587.6691,1142.450722,NAN,896.7897636,1671.050935,1384.489684,749.0263703,1025.048719,807.2712036,1719.15741,947.113435,1474.44957,1174.984025,1456.907669
738.946226,652.6296661,1095.424917,NAN,870.1145398,1743.050241,1372.850712,811.439721,1111.579572,802.9081249,1694.932025,934.8840394,1430.895912,1223.738112,1534.845609
698.958289,656.0392831,1276.966637,NAN,806.3981401,1781.793225,1295.089507,807.5248835,1096.304898,781.7636503,1865.132905,836.8362766,1456.61866,1166.459248,1544.347761
661.4054098,566.4124219,1090.349922,NAN,843.1600861,1741.797017,1220.360701,679.5049979,925.7806743,720.3657777,1573.580815,866.6604372,1172.301211,959.175631,1406.081932
676.4062697,636.6972489,1230.054123,NAN,835.2886863,1554.321276,1146.922251,785.0405902,1012.571305,740.4059569,1564.081498,828.0107855,1213.040064,1067.670627,1330.603672
660.593925,582.6797035,1264.592345,NAN,888.3269134,1583.888301,1197.283574,718.7283371,959.9546153,729.3197247,1654.298627,807.3022473,1349.90243,1132.338537,1404.867837
742.552285,641.4312636,1221.239532,NAN,921.8329151,1799.406865,1311.139529,806.4141807,1118.639141,784.416695,1864.906607,931.0100795,1192.772157,1195.423904,1564.355734
715.9475153,703.7825106,1070.698732,NAN,946.8015425,1417.011645,1253.855868,771.8321657,903.5272711,733.6066814,1576.154393,839.0941034,1301.004257,982.5138112,1359.054074
675.7732626,629.0489325,1247.02306,NAN,879.6461925,1711.98629,1314.7663,696.7056682,1002.186326,732.4945136,1810.96651,866.9355605,1310.969444,1240.763618,1476.639422
625.7963882,539.0093027,981.1866078,NAN,588.7610979,1790.853118,1074.176791,661.4474097,951.4053825,706.5111009,1604.113549,666.4360011,1116.268852,987.885912,1344.762143
557.5001298,483.1034809,1301.078143,NAN,832.4818997,2234.942268,1257.17878,634.805352,932.7585327,653.2725968,2035.659823,772.0874479,1212.623026,1264.805812,1386.095553
523.9728789,479.4596528,1108.224072,NAN,781.1120223,1597.630198,1107.8309,663.6003609,913.9745485,631.3869285,1657.777388,677.4000507,1095.38878,1032.70787,1293.059355
774.7808325,700.1847547,1213.404415,NAN,831.1764829,1998.356754,1234.837159,804.5497063,985.4763893,832.2145006,1913.931848,844.7717481,1224.022884,1174.799792,1465.453648
771.6352071,718.7874776,1247.822561,NAN,926.5943997,1569.49575,1155.932214,836.859764,1124.447212,775.0838596,1623.723026,892.6807512,1327.393238,1154.685799,1424.583003
735.3786228,617.1352225,1176.664538,NAN,838.7027452,1803.495631,1339.816935,849.0698907,1187.76391,803.5467659,1852.055097,885.5765276,1286.406423,1158.224678,1629.637807
551.3524902,548.8822087,1161.551265,NAN,782.1498978,1691.988844,1012.362199,724.4727048,1005.474473,661.6731874,1559.94952,682.9712312,1059.867721,1068.870551,1245.711018
523.5965069,457.3634154,1007.704057,459.8737183,694.5611415,1339.841799,947.3557533,593.5100203,899.7919102,597.2189829,1469.865704,691.7829081,1154.58528,1082.34209,1193.260339
660.1157176,533.5268921,1126.958554,532.4846128,797.2473163,1582.398695,1100.853495,708.5451909,990.84046,713.0352504,1515.024321,771.354831,1066.875046,1044.484619,1308.518821
786.937228,712.3866788,1346.768224,728.0860358,1039.046823,1929.770987,1403.188273,848.6609227,1189.40764,841.2700624,1928.074255,950.0862408,1399.705645,1264.575737,1709.453335
765.195084,669.8520638,1264.36435,667.1290835,892.1081904,1978.264538,1335.822258,808.3530409,1178.119725,915.7186896,1915.648859,916.3415816,1183.199292,1251.393643,1635.441794
875.8540921,778.2207919,1389.454326,904.6876761,1110.213879,1803.996412,1576.623366,1075.591792,1340.985603,983.1781842,1897.277683,1131.253719,1484.462545,NAN,1880.117127
737.6297873,778.1981272,1036.624909,788.7669243,866.4906944,1467.896495,1100.196416,856.5288507,965.7607438,765.2082651,1368.69194,807.3586508,1151.939537,NAN,1345.997905
820.2708311,706.6666189,1473.527912,833.9834735,1004.113553,1575.013571,1408.698025,963.8081427,1257.558737,845.3778516,1864.728456,1012.447612,1627.00771,NAN,1624.123881
557.5053324,516.458582,864.0935744,493.8923334,648.26365,1381.583467,996.0362419,624.319782,801.8354975,580.4926112,1331.482333,667.9653899,980.4571649,NAN,1136.446392
779.6142815,677.7061541,1257.86277,639.0871495,967.7447389,1918.526233,1348.1775,741.5695354,996.7046267,791.5197037,1822.700582,928.991699,1209.178009,NAN,1483.619053
599.0956158,530.1522327,1188.410509,472.1131119,901.9242119,1842.599047,1122.935017,588.5822025,897.7316218,678.4379683,1611.415705,770.6188427,1165.951769,NAN,1300.054873
681.2268537,606.44746,1216.366319,637.7877703,813.8685997,1824.668529,1334.855686,772.7238066,966.0943414,734.6284336,1856.836046,887.3935681,1386.639086,NAN,1465.890577
806.640999,689.4307641,1192.446684,663.1723914,849.5483497,1820.85473,1283.752759,835.4321137,1137.498443,917.4387902,1629.975575,930.5563661,1097.267948,NAN,1482.299115
786.9880729,685.0493508,1350.63086,652.8603342,1091.931053,1859.238951,1470.897927,836.2647382,1152.175583,894.8398473,1920.545695,1053.020977,1416.919094,NAN,1660.570209
674.8928563,595.5507913,1329.993884,682.4361344,943.4880208,1786.818976,1328.532206,798.3473875,1091.109799,747.1440724,1915.789301,852.3872466,1405.623378,NAN,1493.069757
609.845095,585.0027836,1099.818125,562.7243512,861.5734367,1292.518322,982.1954737,685.0101312,818.9157486,608.4498296,1334.089679,734.0960927,1178.823699,NAN,1126.288809
483.4985701,453.2681581,1396.742429,514.8035429,834.1725744,2003.403071,1355.730322,604.3948023,843.9856414,515.546752,2187.108236,724.7924968,1232.62867,NAN,1284.454088
954.2360054,809.8679455,1310.26181,812.0614452,1176.466062,1641.809968,1590.269994,983.4686316,1371.948919,1014.313608,1859.560105,1155.558272,1580.716293,NAN,1698.402475
633.424341,560.6643623,1098.072859,648.15551,856.9959054,1600.769824,1143.850369,785.7729147,1030.440738,761.190056,1653.187724,734.7964626,1254.310315,NAN,1339.74977
790.8924166,735.6981919,1388.385739,818.2350764,893.5752947,1867.701853,1303.25175,1009.944437,1218.491936,905.6333287,1948.305513,923.1909609,1508.156386,NAN,1547.861459
624.6773229,583.3859426,1405.491185,578.7765722,1001.588963,1989.620354,1500.859476,720.38373,1006.808534,706.8464498,2112.248091,933.8261405,1366.985964,NAN,1564.87311
700.0786489,588.2906555,1183.782941,608.0989787,857.8708109,1630.053687,1245.142665,710.8329902,947.7030376,753.4655946,1620.361845,857.4095987,1233.420624,NAN,1367.500467
668.1096055,603.287518,1062.290117,615.8935561,814.0294832,1719.627536,1361.100963,706.4686673,971.5281108,683.2137543,1752.455291,834.3604707,1425.938732,1144.919679,1409.307056
640.0053071,555.7843095,1054.239651,615.6623363,786.3185802,1493.889587,1107.424509,737.5256452,1021.405822,703.0800238,1642.400095,784.4603502,1300.762224,1077.405907,1366.119643
